category_label,platform,operating_orgs,total_followers,avg_posts_30d,avg_activity
부,blog,19,1994686,8.157894736842104,59.38947368421053
부,facebook,19,2399421,7.684210526315789,58.81052631578948
부,instagram,19,2033981,7.947368421052632,57.87894736842105
부,x,17,1708220,6.882352941176471,56.10588235294117
부,youtube,19,1956395,7.105263157894737,57.81578947368421
위원회,blog,6,715544,8.166666666666666,59.93333333333334
위원회,facebook,6,728458,7.666666666666667,61.833333333333336
위원회,instagram,6,732790,9.666666666666666,67.88333333333334
위원회,x,1,197229,6.0,56.8
위원회,youtube,6,440792,7.833333333333333,56.88333333333333
처,blog,4,302795,9.75,67.45
처,facebook,4,273372,4.75,49.125
처,instagram,4,384772,3.5,41.35
처,x,1,117629,9.0,70.1
처,youtube,4,431826,8.25,61.375
청,blog,18,1954510,7.777777777777778,59.25
청,facebook,19,1771921,6.473684210526316,55.33157894736842
청,instagram,19,1588807,8.31578947368421,58.0578947368421
청,x,5,427198,7.2,59.2
청,youtube,19,1864896,8.0,60.40526315789474
