org_id,platform,followers_before,followers_now,delta,growth_pct,window_days
acrc,blog,25439,26305,866,3.4,30
acrc,facebook,181174,178050,-3124,-1.72,30
acrc,instagram,53082,53957,875,1.65,30
acrc,youtube,50539,52709,2170,4.29,30
customs,blog,183135,190402,7267,3.97,30
customs,facebook,164461,162815,-1646,-1.0,30
customs,instagram,69802,74222,4420,6.33,30
customs,youtube,116402,120474,4072,3.5,30
dapa,blog,188579,196573,7994,4.24,30
dapa,facebook,64426,63503,-923,-1.43,30
dapa,instagram,55488,58171,2683,4.84,30
dapa,youtube,74916,81093,6177,8.25,30
forest,blog,70833,69654,-1179,-1.66,30
forest,facebook,21186,22125,939,4.43,30
forest,instagram,65086,64357,-729,-1.12,30
forest,youtube,158134,156649,-1485,-0.94,30
fsc,blog,178749,184025,5276,2.95,30
fsc,facebook,139873,153011,13138,9.39,30
fsc,instagram,170042,181091,11049,6.5,30
fsc,x,194423,197229,2806,1.44,30
fsc,youtube,122840,131960,9120,7.42,30
ftc,blog,91615,90220,-1395,-1.52,30
ftc,facebook,61755,61087,-668,-1.08,30
ftc,instagram,160371,166619,6248,3.9,30
ftc,youtube,12170,12032,-138,-1.13,30
kcc,blog,20240,21899,1659,8.2,30
kcc,facebook,132558,139492,6934,5.23,30
kcc,instagram,63402,66339,2937,4.63,30
kcc,youtube,17352,18706,1354,7.8,30
kcg,blog,173998,182093,8095,4.65,30
kcg,facebook,73559,79458,5899,8.02,30
kcg,instagram,15130,15891,761,5.03,30
kcg,youtube,22586,22325,-261,-1.16,30
kdca,blog,40651,43776,3125,7.69,30
kdca,facebook,1084,1118,34,3.14,30
kdca,instagram,186465,185223,-1242,-0.67,30
kdca,x,20465,20332,-133,-0.65,30
kdca,youtube,72111,77472,5361,7.43,30
khs,blog,165467,164392,-1075,-0.65,30
khs,facebook,97472,103279,5807,5.96,30
khs,instagram,9463,9261,-202,-2.13,30
khs,youtube,128936,137310,8374,6.49,30
kipo,blog,28057,29456,1399,4.99,30
kipo,facebook,193125,213031,19906,10.31,30
kipo,instagram,53308,55354,2046,3.84,30
kipo,x,124610,124317,-293,-0.24,30
kipo,youtube,115850,123291,7441,6.42,30
kma,blog,10729,11232,503,4.69,30
kma,facebook,119745,119947,202,0.17,30
kma,instagram,31620,34691,3071,9.71,30
kma,x,73273,72776,-497,-0.68,30
kma,youtube,127509,133105,5596,4.39,30
kostat,blog,68878,74313,5435,7.89,30
kostat,facebook,63845,65156,1311,2.05,30
kostat,instagram,182551,185058,2507,1.37,30
kostat,x,183314,201366,18052,9.85,30
kostat,youtube,15094,15772,678,4.49,30
macc,blog,174087,180998,6911,3.97,30
macc,facebook,147224,152749,5525,3.75,30
macc,instagram,191227,204619,13392,7.0,30
macc,youtube,92304,93398,1094,1.19,30
mafra,blog,20731,20242,-489,-2.36,30
mafra,facebook,128521,136420,7899,6.15,30
mafra,instagram,56520,56706,186,0.33,30
mafra,youtube,781,774,-7,-0.9,30
mcst,blog,112541,115394,2853,2.54,30
mcst,facebook,190627,197375,6748,3.54,30
mcst,instagram,172074,169380,-2694,-1.57,30
mcst,x,42540,46914,4374,10.28,30
mcst,youtube,68718,73929,5211,7.58,30
me,blog,48822,51532,2710,5.55,30
me,facebook,187890,187346,-544,-0.29,30
me,instagram,38594,40001,1407,3.65,30
me,x,85245,89938,4693,5.51,30
me,youtube,123960,133195,9235,7.45,30
mfds,blog,76475,76389,-86,-0.11,30
mfds,facebook,201692,206378,4686,2.32,30
mfds,instagram,21565,21502,-63,-0.29,30
mfds,x,120020,117629,-2391,-1.99,30
mfds,youtube,91663,96910,5247,5.72,30
mma,blog,98354,98914,560,0.57,30
mma,facebook,71750,75685,3935,5.48,30
mma,instagram,23089,23716,627,2.72,30
mma,youtube,46571,49649,3078,6.61,30
mnd,blog,182269,191277,9008,4.94,30
mnd,facebook,124778,130354,5576,4.47,30
mnd,instagram,19869,19692,-177,-0.89,30
mnd,x,122213,132129,9916,8.11,30
mnd,youtube,171575,178490,6915,4.03,30
moe,blog,163711,171097,7386,4.51,30
moe,facebook,81680,86570,4890,5.99,30
moe,instagram,147271,158792,11521,7.82,30
moe,x,187982,195839,7857,4.18,30
moe,youtube,119932,132153,12221,10.19,30
moef,blog,73856,77100,3244,4.39,30
moef,facebook,200197,214097,13900,6.94,30
moef,instagram,29594,29371,-223,-0.75,30
moef,x,7021,6936,-85,-1.21,30
moef,youtube,168498,169446,948,0.56,30
moel,blog,137902,148839,10937,7.93,30
moel,facebook,126929,126512,-417,-0.33,30
moel,instagram,118040,128897,10857,9.2,30
moel,x,157692,167628,9936,6.3,30
moel,youtube,149782,160982,11200,7.48,30
mof,blog,113271,113109,-162,-0.14,30
mof,facebook,2944,3075,131,4.45,30
mof,instagram,128064,134547,6483,5.06,30
mof,x,81417,87674,6257,7.69,30
mof,youtube,204522,220273,15751,7.7,30
mofa,blog,138143,149819,11676,8.45,30
mofa,facebook,162168,174114,11946,7.37,30
mofa,instagram,100733,99936,-797,-0.79,30
mofa,x,50139,49328,-811,-1.62,30
mofa,youtube,39473,42243,2770,7.02,30
mogef,blog,83717,91963,8246,9.85,30
mogef,facebook,178670,192661,13991,7.83,30
mogef,instagram,86367,85854,-513,-0.59,30
mogef,x,165056,172765,7709,4.67,30
mogef,youtube,121579,129265,7686,6.32,30
mohw,blog,53568,55425,1857,3.47,30
mohw,facebook,131374,144640,13266,10.1,30
mohw,instagram,164420,164563,143,0.09,30
mohw,x,161319,170350,9031,5.6,30
mohw,youtube,173148,170930,-2218,-1.28,30
mois,blog,152701,161313,8612,5.64,30
mois,facebook,79725,82292,2567,3.22,30
mois,instagram,10700,11710,1010,9.44,30
mois,x,2948,2998,50,1.7,30
mois,youtube,77928,81931,4003,5.14,30
moj,blog,56521,56203,-318,-0.56,30
moj,facebook,49683,54854,5171,10.41,30
moj,instagram,98276,105430,7154,7.28,30
moj,x,81434,81353,-81,-0.1,30
moj,youtube,5316,5411,95,1.79,30
moleg,blog,10573,10950,377,3.57,30
moleg,facebook,9230,9131,-99,-1.07,30
