name_ko,category_label,platform,handle,followers,posts_30d,engagement_rate,activity_score
농림축산식품부,부,youtube,@maf_official,774,13,0.09077223205748834,93.7
방송통신위원회,위원회,facebook,kcc.korea,139492,13,0.00042172364287073406,80.2
교육부,부,instagram,ourmoe,158792,13,0.00039146121414876096,80.2
국방부,부,facebook,MNDKOR,130354,14,0.00026728618863040696,80.1
법무부,부,youtube,@moj_korea,5411,13,0.006463592129664487,79.9
국가보훈부,부,blog,https://blog.naver.com/mpva_korea,50572,15,0.0009697835582750734,79.4
농림축산식품부,부,facebook,korea.mafra,136420,12,0.0006971410639871225,79.3
산업통상자원부,부,x,motiekr,27358,12,0.0018733020457840559,79.1
통일부,부,facebook,unikoreaMOU,124892,12,0.0002548422034632172,79.1
행정안전부,부,x,mopaspr,2998,12,0.023564702576299567,78.4
인사혁신처,처,blog,https://blog.naver.com/happy_mpm,25948,12,0.0014075668995840792,78.2
농촌진흥청,청,instagram,rda_korea,65775,13,0.0008321279574513902,77.3
기상청,청,x,kma_sky,72776,11,0.0007674128162780216,77.3
관세청,청,youtube,@customs_kr,120474,11,0.00048026971500079904,77.2
산업통상자원부,부,instagram,motie_kr,158016,11,0.0005476467403678089,77.2
방송통신위원회,위원회,instagram,kcc_kr,66339,11,0.0009807248031069766,77.1
경찰청,청,blog,https://polinlove.tistory.com,114739,13,0.0008157005479640839,76.7
공정거래위원회,위원회,instagram,ftc_korea,166619,11,0.0004217824921626989,76.2
국방부,부,x,ROK_MND,132129,15,0.00024276062022562435,76.1
원자력안전위원회,위원회,facebook,nssckorea,136222,11,0.000350546294430475,76.1
국가유산청,청,blog,https://blog.naver.com/chagov,164392,11,0.000173018573059848,75.7
검찰청,청,youtube,@spokorea,28431,12,0.0017494948471523308,75.4
행정중심복합도시건설청,청,instagram,macc_kr,204619,12,0.00022482080428938274,75.1
원자력안전위원회,위원회,instagram,nssc_kr,103127,14,0.0003272739615698472,75.1
국세청,청,youtube,@ntskorea,66194,15,0.0007769047910182261,75.0
국가유산청,청,facebook,koreaheritageservice,103279,13,0.0005050374887104226,74.9
기상청,청,instagram,kma_sky,34691,18,0.0019558514022737974,74.8
고용노동부,부,facebook,moel.kr,126512,13,0.0003709710666206627,74.5
방송통신위원회,위원회,blog,https://blog.naver.com/kcc1335,21899,13,0.0021203479968425728,74.2
소방청,청,blog,https://blog.naver.com/nfa119,67643,11,0.0004860358661138296,74.2
새만금개발청,청,youtube,@saemangeum,51128,13,0.0004872536845859409,74.2
방위사업청,청,facebook,dapakorea,63503,10,0.0010960791637469086,74.1
산업통상자원부,부,youtube,@motiekr,24555,10,0.0021534806803314654,73.9
소방청,청,instagram,korea_119_nfa,61466,17,0.001292671808328435,73.9
소방청,청,facebook,kfa119,137577,12,0.00036087991947639795,73.8
국토교통부,부,instagram,molit_korea,175097,14,0.000345935806621432,73.8
문화체육관광부,부,youtube,@mcstkorea,73929,12,0.0009270775638783131,73.7
통일부,부,blog,https://blog.naver.com/gounikorea,184071,20,0.0002817265266801956,73.4
국가유산청,청,youtube,@khs_korea,137310,12,0.0003503584124604129,73.1
행정중심복합도시건설청,청,facebook,macckorea,152749,11,0.00025019636268502167,73.1
질병관리청,청,youtube,@kdca_official,77472,16,0.0012945708986106346,72.5
특허청,청,facebook,kipokorea,213031,10,8.40211380630916e-05,72.4
검찰청,청,blog,https://blog.naver.com/spogood,98502,11,0.0004561795472396612,72.2
식품의약품안전처,처,blog,https://blog.naver.com/kfdazzang,76389,10,0.000989957787827208,72.1
외교부,부,x,mofa_kr,49328,10,0.0009831995515350352,71.7
국민권익위원회,위원회,youtube,@acrckorea,52709,12,0.0007803832724297805,71.3
통일부,부,instagram,ourunikorea,133888,14,0.00026027688755121334,71.1
농림축산식품부,부,blog,https://blog.naver.com/mafrakr,20242,10,0.0026728092464593767,71.1
국무조정실/국무총리비서실,처,facebook,korea.opm,16509,9,0.003545907795768111,71.1
해양경찰청,청,blog,https://blog.naver.com/kcgpr,182093,10,0.0003203182840437358,70.5
