name_ko,category_label,platform,handle,followers,posts_30d,engagement_rate,activity_score
해양수산부,부,youtube,@momaf_kr,220273,4,5.4706723076242004e-05,44.0
기획재정부,부,facebook,moefkorea,214097,8,0.00011072816360995673,64.0
특허청,청,facebook,kipokorea,213031,10,8.40211380630916e-05,72.4
소방청,청,youtube,@nfa119,208023,8,4.4559641006338224e-05,63.7
식품의약품안전처,처,facebook,mfds.korea,206378,4,0.0002978272200512385,33.5
원자력안전위원회,위원회,blog,https://blog.naver.com/nssckorea,205638,5,0.00033143499589437784,48.1
행정중심복합도시건설청,청,instagram,macc_kr,204619,12,0.00022482080428938274,75.1
국가보훈부,부,instagram,mpva_korea,204578,6,9.174563809896696e-05,53.4
통계청,청,x,hi_kostat,201366,3,0.00024110561392895835,38.8
통일부,부,youtube,@unikoreatv,197758,5,0.0001825199932470652,45.7
문화체육관광부,부,facebook,mcst,197375,9,0.00020596051523547209,60.7
금융위원회,위원회,x,fsc_korea,197229,6,0.0002842212059129646,56.8
방위사업청,청,blog,https://blog.naver.com/dapapr,196573,4,0.0002823041141633417,33.8
교육부,부,x,ourmoe,195839,8,0.0002218908967609148,62.8
국세청,청,blog,https://blog.naver.com/ntscafe,194641,8,0.00036390238852684604,55.5
여성가족부,부,facebook,mogefkorea,192661,9,0.00023353480300972905,64.1
국방부,부,blog,https://mndpr.tistory.com,191277,12,0.00043574356802318957,66.2
관세청,청,blog,https://blog.naver.com/k_customs,190402,4,0.00011206658651969729,44.7
국무조정실/국무총리비서실,처,blog,https://blog.naver.com/primeminister,189508,10,0.00030389665509730985,57.5
개인정보보호위원회,위원회,blog,https://blog.naver.com/pipcpr,187457,8,0.0003968969940059697,60.5
환경부,부,facebook,mineenvironment,187346,8,0.00011568555136171418,62.7
질병관리청,청,instagram,kdca_kr,185223,6,0.0002780041266382507,47.1
통계청,청,instagram,hi_kostat,185058,9,0.00012906253880801632,63.7
통일부,부,blog,https://blog.naver.com/gounikorea,184071,20,0.0002817265266801956,73.4
금융위원회,위원회,blog,https://blog.naver.com/blogfsc,184025,8,0.00019554660957211734,64.4
경찰청,청,youtube,@polinarykorea,182731,10,0.000284240953123058,61.4
해양경찰청,청,blog,https://blog.naver.com/kcgpr,182093,10,0.0003203182840437358,70.5
금융위원회,위원회,instagram,fsc.korea,181091,10,0.00017789105992860698,64.4
행정중심복합도시건설청,청,blog,https://blog.naver.com/happymaac,180998,5,0.0002284859140171786,53.1
재외동포청,청,facebook,okakorea,179879,5,0.0003585670051414392,45.5
국방부,부,youtube,@MNDKOR,178490,8,9.077647240475644e-05,66.7
국민권익위원회,위원회,facebook,acrckorea,178050,6,0.0002603117355935301,54.4
과학기술정보통신부,부,x,MSIT_KR,177733,3,0.00021481749972642112,38.4
국토교통부,부,instagram,molit_korea,175097,14,0.000345935806621432,73.8
외교부,부,facebook,mofakr.eng,174114,8,0.00023012202921048283,66.4
국토교통부,부,facebook,molitkorea,173711,9,0.00020966662836449494,60.8
여성가족부,부,x,mogefkorea,172765,3,0.0003592564365328205,33.1
교육부,부,blog,https://blog.naver.com/moeblog,171097,9,0.00035200725955992986,69.1
보건복지부,부,youtube,@mohwpr,170930,9,0.0002835652557033032,68.8
보건복지부,부,x,mohwpr,170350,4,0.00029690554361790853,39.8
기획재정부,부,youtube,@moefkorea,169446,6,0.00047203983768830696,51.5
문화체육관광부,부,instagram,mcstkorea,169380,8,0.00032376854654083483,59.8
고용노동부,부,x,molab_kr,167628,5,0.0004659142984460992,41.5
공정거래위원회,위원회,instagram,ftc_korea,166619,11,0.0004217824921626989,76.2
보건복지부,부,instagram,mohw_kr,164563,6,0.0003509200055474763,50.1
국가유산청,청,blog,https://blog.naver.com/chagov,164392,11,0.000173018573059848,75.7
중소벤처기업부,부,x,mss_kr,164349,4,0.0003327618739816322,38.5
조달청,청,youtube,@ppskorea,163078,7,0.00022014772196710363,56.1
관세청,청,facebook,koreacustomsservice,162815,6,0.00026087798793484506,55.1
조달청,청,instagram,korea_pps,161805,5,0.00014521278546613967,51.4
